CMDLINE D:\Python\python.exe main.py
MEM 2.148438 1741237838.2662
MEM 19.804688 1741237838.3666
MEM 37.003906 1741237838.4671
MEM 54.242188 1741237838.5675
MEM 64.851562 1741237838.6680
MEM 113.039062 1741237838.7686
MEM 134.589844 1741237838.8690
MEM 108.433594 1741237838.9693
MEM 119.976562 1741237839.0698
MEM 126.457031 1741237839.1702
MEM 136.187500 1741237839.2709
MEM 142.296875 1741237839.3714
MEM 162.222656 1741237839.4718
MEM 160.265625 1741237839.5725
MEM 166.300781 1741237839.6727
MEM 166.800781 1741237839.7730
MEM 166.937500 1741237839.8736
MEM 167.070312 1741237839.9744
MEM 167.089844 1741237840.0751
